0,GPIO0,P2
1,GPIO1,P1
2,GPIO2,P8
3,GPIO3,P0
4,GPIO4,P3
5,GPIO5,P5
12,GPIO12,P9
13,GPIO13,P10
14,GPIO14,P21
15,GPIO15,P4
16,GPIO16,P25
17,GPIO17,P24
18,GPIO18,P23
19,GPIO19,P7
21,GPIO21,P12
22,GPIO22,P11
23,GPIO23,P22
25,GPIO25,P20
26,GPIO26,P19
27,GPIO27,P6
32,GPIO32,P17
33,GPIO33,P18
34,GPI34,P16
35,GPI35,P15
36,GPI36,P13
39,GPI39,P14
